Timestamp,"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C10]  SUGAR:  LOOKING AT OUR FAVORITE MOLECULE IN FOOD, CULTURE AND THE MEDIA]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C11]  PERSONAL IDENTITY AND IMMORTALITY],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C13]  AN EARTH RESTORED: INTERSECTIONAL ENVIRONMENTAL APPROACHES],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C14]  STUDY SAYS:  CHOCOLATE MAKES YOU SMARTER!  SEPARATING SCIENCE FROM SENSATIONALISM IN CLAIMS ABOUT FOOD],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C15]  NEW YORK VOICES:  LITERATURE OF NEW YORK],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C19]  INTERNATIONAL HEALTH POLITICS],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C17]  FROM AMELIE TO EMILY IN PARIS: MYTH AND REALITY IN THE CITY OF LIGHTS],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J2]  ACTING THROUGH THE AGES: TRUTH IN PERFORMANCE],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J21]  LATINOS IN HOLLYWOOD: REPRESENTATIONS, STEREOTYPES, AND IDENTITIES]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C12]  SCIENTIFIC LITERACY: SEPARATING FACT FROM FICTION],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C1] THE FORTY STUDIES THAT CHANGED PSYCHOLOGY],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C18]  FROM WEST AFRICA TO AMERICA:  FOOD, MUSIC, AND CULTURE OF THE PLANTATION]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J26]  HISTORY IN GRAPHIC LITERATURE:  ADVENTURES IN THE PICTORIAL PAST],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J29]  WHY WE BUY: THE SCIENCE OF SHOPPING],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J27]  THE SIXTIES: CIVIL RIGHTS, THE VIETNAM WAR, AND ROCK 'N ROLL]","DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J28]  FOOD FOR THOUGHT, THOUGHT FOR FOOD: CHINESE FOODWAYS]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J25]  STRANGERS AT THE SHORE: IMMIGRANTS AND THE NATION],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J24]  OH, THE HORROR: SCARY MOVIES AND CULTURAL UNEASE]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J23]  MORE THAN A GAME: SPORTS STORIES AND WHY THEY MATTER],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J22]  MADMEN IN AUTHORITY, DEFUNCT ECONOMISTS, AND THEIR QUARRELS: AN EXPLORATION AND CRITIQUE OF IDEAS ABOUT CAPITALIST DEVELOPMENT]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J1]  THE SCENTS OF SMELL],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J20] IN GOOD TASTE:  FOOD, CULTURE, AND SUSTAINABILITY IN ITALY]",Are you finished?
6/2/2022 15:42:37,,,,,,3rd Choice DSEM,,,,5th Choice DSEM,,,,2nd Choice DSEM,,,,,4th Choice DSEM,1st Choice DSEM,,,I'm completely finished!
6/2/2022 22:48:09,,,,,2nd Choice DSEM,,,,,,,,5th Choice DSEM,,,,,3rd Choice DSEM,4th Choice DSEM,,1st Choice DSEM,,I'm completely finished!
6/3/2022 10:45:02,,4th Choice DSEM,,,,,,,,,,5th Choice DSEM,,,1st Choice DSEM,,2nd Choice DSEM,,,3rd Choice DSEM,,,I'm completely finished!
6/3/2022 18:00:59,,5th Choice DSEM,,,,,3rd Choice DSEM,,,,,,,4th Choice DSEM,,,,2nd Choice DSEM,,,1st Choice DSEM,,I'm completely finished!
6/4/2022 15:09:54,,,,,,,,5th Choice DSEM,,,,,1st Choice DSEM,,,,,2nd Choice DSEM,3rd Choice DSEM,,4th Choice DSEM,,I'm completely finished!
6/5/2022 18:13:56,,1st Choice DSEM,,,,,,,,,3rd Choice DSEM,2nd Choice DSEM,,5th Choice DSEM,,,,,,,4th Choice DSEM,,I'm completely finished!
6/6/2022 9:36:04,,,,5th Choice DSEM,,,2nd Choice DSEM,,,,,4th Choice DSEM,,1st Choice DSEM,,,,3rd Choice DSEM,,,,,I'm completely finished!
6/7/2022 9:44:25,2nd Choice DSEM,,,1st Choice DSEM,,,,,,,,,,,,,,3rd Choice DSEM,,,,,I'm completely finished!
6/7/2022 22:52:32,,4th Choice DSEM,,,,,,,,,3rd Choice DSEM,,,,,,,1st Choice DSEM,2nd Choice DSEM,,,5th Choice DSEM,I'm completely finished!
6/8/2022 8:21:55,,,,,3rd Choice DSEM,,,1st Choice DSEM,2nd Choice DSEM,,5th Choice DSEM,,,,,,,,,,,,I'm completely finished!
6/8/2022 12:29:26,,,,,,5th Choice DSEM,,,,,1st Choice DSEM,,,4th Choice DSEM,,,,2nd Choice DSEM,,,,3rd Choice DSEM,I'm completely finished!
6/8/2022 21:42:57,,,,5th Choice DSEM,,,,,,,2nd Choice DSEM,,,4th Choice DSEM,,,,,1st Choice DSEM,,,3rd Choice DSEM,I'm completely finished!
6/9/2022 20:35:23,,,,,2nd Choice DSEM,,,,4th Choice DSEM,,,,,,5th Choice DSEM,,3rd Choice DSEM,,1st Choice DSEM,,,,I'm completely finished!
6/10/2022 2:22:26,3rd Choice DSEM,1st Choice DSEM,,,2nd Choice DSEM,,4th Choice DSEM,,,,,,,,,,,,,,,5th Choice DSEM,I'm completely finished!
6/10/2022 13:32:03,,1st Choice DSEM,5th Choice DSEM,,,2nd Choice DSEM,,,,,,,,,,,,3rd Choice DSEM,4th Choice DSEM,,,,I'm completely finished!
6/10/2022 18:06:24,3rd Choice DSEM,,,4th Choice DSEM,,,,,,,,,,,5th Choice DSEM,,,1st Choice DSEM,,,2nd Choice DSEM,,I'm completely finished!
6/10/2022 21:38:55,5th Choice DSEM,,,3rd Choice DSEM,,,,,,,,,,,,,,,2nd Choice DSEM,4th Choice DSEM,,1st Choice DSEM,I'm completely finished!
6/11/2022 9:49:13,,2nd Choice DSEM,,,4th Choice DSEM,,,,,,5th Choice DSEM,,3rd Choice DSEM,,,,,1st Choice DSEM,,,,,I'm completely finished!
6/11/2022 10:51:14,,,3rd Choice DSEM,,,,1st Choice DSEM,,,,,,,,,5th Choice DSEM,2nd Choice DSEM,4th Choice DSEM,,,,,I'm completely finished!
6/11/2022 12:06:17,,,,2nd Choice DSEM,,,,,,,,,,,,,4th Choice DSEM,5th Choice DSEM,1st Choice DSEM,,3rd Choice DSEM,,I'm completely finished!
6/11/2022 13:21:07,,1st Choice DSEM,,3rd Choice DSEM,,,,,,,5th Choice DSEM,,,,,,,,4th Choice DSEM,,,2nd Choice DSEM,I'm completely finished!
6/11/2022 14:01:05,,,,2nd Choice DSEM,5th Choice DSEM,,,,,,1st Choice DSEM,,,,,,,,,,4th Choice DSEM,3rd Choice DSEM,I'm completely finished!
6/12/2022 18:00:37,,2nd Choice DSEM,5th Choice DSEM,,,,,,,,1st Choice DSEM,,,,,,3rd Choice DSEM,,,,,4th Choice DSEM,I'm completely finished!
6/12/2022 18:52:46,,,,,,,,2nd Choice DSEM,3rd Choice DSEM,,1st Choice DSEM,5th Choice DSEM,,,,4th Choice DSEM,,,,,,,I'm completely finished!
6/12/2022 22:26:06,,,,,,,,,,,2nd Choice DSEM,,,,4th Choice DSEM,,,3rd Choice DSEM,1st Choice DSEM,,,5th Choice DSEM,I'm completely finished!
6/13/2022 19:41:29,,,,,,,2nd Choice DSEM,,1st Choice DSEM,,4th Choice DSEM,,,,,,,5th Choice DSEM,,,3rd Choice DSEM,,I'm completely finished!
6/13/2022 20:22:19,4th Choice DSEM,,,,,2nd Choice DSEM,,,,,5th Choice DSEM,,,,,,,1st Choice DSEM,,3rd Choice DSEM,,,I'm completely finished!
6/15/2022 17:55:36,5th Choice DSEM,3rd Choice DSEM,,,,,,,,,1st Choice DSEM,,,,4th Choice DSEM,,,,,,2nd Choice DSEM,,I'm completely finished!
6/13/2022 23:45:02,,2nd Choice DSEM,5th Choice DSEM,4th Choice DSEM,,,,,,,,,,,,,,1st Choice DSEM,,,,3rd Choice DSEM,I'm completely finished!
6/14/2022 11:52:21,,2nd Choice DSEM,,,,,,,,,1st Choice DSEM,,,,,,,3rd Choice DSEM,,,5th Choice DSEM,4th Choice DSEM,I'm completely finished!
6/14/2022 15:46:21,,,,,,,,,,,,,,,4th Choice DSEM,,,2nd Choice DSEM,1st Choice DSEM,5th Choice DSEM,,3rd Choice DSEM,I'm completely finished!
6/14/2022 16:20:05,,5th Choice DSEM,,,,,,1st Choice DSEM,,,4th Choice DSEM,,,,,,,2nd Choice DSEM,3rd Choice DSEM,,,,I'm completely finished!
6/14/2022 17:10:39,,5th Choice DSEM,,,,,,,,,4th Choice DSEM,,2nd Choice DSEM,,3rd Choice DSEM,,,1st Choice DSEM,,,,,I'm completely finished!
6/14/2022 17:48:50,3rd Choice DSEM,,,4th Choice DSEM,,,5th Choice DSEM,,,,,,,,,,,1st Choice DSEM,,,,2nd Choice DSEM,I'm completely finished!
6/14/2022 20:22:10,3rd Choice DSEM,,,2nd Choice DSEM,,,,,,,1st Choice DSEM,,,,,,,,4th Choice DSEM,,5th Choice DSEM,,I'm completely finished!
6/27/2022 16:07:09,,,,,5th Choice DSEM,,2nd Choice DSEM,,,,,,,,,3rd Choice DSEM,,,1st Choice DSEM,,4th Choice DSEM,,I'm completely finished!
6/15/2022 17:23:08,,4th Choice DSEM,,,1st Choice DSEM,,,,,,,,,,5th Choice DSEM,,,,3rd Choice DSEM,2nd Choice DSEM,,,I'm completely finished!
6/15/2022 20:35:23,4th Choice DSEM,2nd Choice DSEM,,,,,,,,,1st Choice DSEM,,,,,,,3rd Choice DSEM,,,5th Choice DSEM,,I'm completely finished!
6/16/2022 1:37:25,,1st Choice DSEM,,,,,,,2nd Choice DSEM,,4th Choice DSEM,,,,,,3rd Choice DSEM,5th Choice DSEM,,,,,I'm completely finished!
6/16/2022 15:06:01,,,,,5th Choice DSEM,,,2nd Choice DSEM,,,,,,,,,,4th Choice DSEM,3rd Choice DSEM,,,1st Choice DSEM,I'm completely finished!
TRANSFER,,,,3rd Choice DSEM,,1st Choice DSEM,,,4th Choice DSEM,,,,,,,,,5th Choice DSEM,2nd Choice DSEM,,,,I'm completely finished!
6/16/2022 16:06:33,,2nd Choice DSEM,,,,4th Choice DSEM,,,,,,,,,,,,,1st Choice DSEM,,3rd Choice DSEM,5th Choice DSEM,I'm completely finished!
6/28/2022 19:49:39,,,,,4th Choice DSEM,,,,2nd Choice DSEM,,5th Choice DSEM,,3rd Choice DSEM,,3rd Choice DSEM,,,,1st Choice DSEM,,,,I'm completely finished!
6/17/2022 22:04:33,4th Choice DSEM,,,,,5th Choice DSEM,,,,,,2nd Choice DSEM,,,3rd Choice DSEM,,,,1st Choice DSEM,,,,I'm completely finished!
6/19/2022 12:41:22,,2nd Choice DSEM,,1st Choice DSEM,,,,,,,,,,,,,,4th Choice DSEM,3rd Choice DSEM,,5th Choice DSEM,,I'm completely finished!
6/19/2022 15:01:52,,5th Choice DSEM,,3rd Choice DSEM,,,,,,,1st Choice DSEM,,,,,,,,2nd Choice DSEM,,4th Choice DSEM,,I'm completely finished!
6/19/2022 20:57:53,,1st Choice DSEM,4th Choice DSEM,3rd Choice DSEM,,,,,,,,,,,2nd Choice DSEM,,,,,,5th Choice DSEM,,I'm completely finished!
6/20/2022 11:22:34,,,,,,2nd Choice DSEM,,,,,3rd Choice DSEM,,,,,,,,,1st Choice DSEM,,,I'm completely finished!
6/20/2022 13:58:37,,5th Choice DSEM,,,,,,,3rd Choice DSEM,,,,,,,4th Choice DSEM,,1st Choice DSEM,,,2nd Choice DSEM,,I'm completely finished!
6/20/2022 20:19:46,,5th Choice DSEM,,1st Choice DSEM,,,,,3rd Choice DSEM,,2nd Choice DSEM,4th Choice DSEM,,,,,,,,,,,I'm completely finished!
6/21/2022 15:05:35,5th Choice DSEM,3rd Choice DSEM,,2nd Choice DSEM,,,,,,,,,,,,,,,4th Choice DSEM,,1st Choice DSEM,,I'm completely finished!
6/21/2022 18:05:13,5th Choice DSEM,3rd Choice DSEM,,,4th Choice DSEM,,,,,,,,,,,,,,1st Choice DSEM,,,2nd Choice DSEM,I'm completely finished!
6/22/2022 4:46:49,,4th Choice DSEM,,,,,,,,,1st Choice DSEM,,,,,,,2nd Choice DSEM,,5th Choice DSEM,3rd Choice DSEM,,I'm completely finished!
6/23/2022 1:26:47,4th Choice DSEM,,,,,,3rd Choice DSEM,,2nd Choice DSEM,,,,,,,,5th Choice DSEM,,,,,1st Choice DSEM,I'm completely finished!
6/23/2022 15:43:01,,2nd Choice DSEM,3rd Choice DSEM,,4th Choice DSEM,,,,,,1st Choice DSEM,,,,5th Choice DSEM,,,,,,,,I'm completely finished!
6/23/2022 16:58:17,,,,3rd Choice DSEM,,,,,,,,,,,1st Choice DSEM,,,2nd Choice DSEM,4th Choice DSEM,,5th Choice DSEM,,I'm completely finished!
6/24/2022 9:48:50,3rd Choice DSEM,,,5th Choice DSEM,,,,,,,,,4th Choice DSEM,,,,,2nd Choice DSEM,1st Choice DSEM,,,,I'm completely finished!
6/29/2022 21:09:42,,3rd Choice DSEM,,4th Choice DSEM,,,,,,,2nd Choice DSEM,1st Choice DSEM,,,,,,5th Choice DSEM,,,,,I'm completely finished!
6/25/2022 9:27:08,,,,5th Choice DSEM,,,,,,,,,,,,,,1st Choice DSEM,4th Choice DSEM,,3rd Choice DSEM,2nd Choice DSEM,I'm completely finished!
6/25/2022 9:27:08,5th Choice DSEM,,,1st Choice DSEM,,2nd Choice DSEM,,,,,3rd Choice DSEM,,,,4th Choice DSEM,,,,,,,,I'm completely finished!
6/25/2022 17:12:40,,4th Choice DSEM,3rd Choice DSEM,,5th Choice DSEM,,,1st Choice DSEM,,,,,,,,,,2nd Choice DSEM,,,,,I'm completely finished!
6/26/2022 10:51:55,3rd Choice DSEM,4th Choice DSEM,5th Choice DSEM,,,,,,,,,,,,,,,,2nd Choice DSEM,1st Choice DSEM,,,I'm completely finished!
6/26/2022 20:56:26,,2nd Choice DSEM,3rd Choice DSEM,,1st Choice DSEM,,,,,,,,,,4th Choice DSEM,,,,,,,5th Choice DSEM,I'm completely finished!
6/26/2022 23:53:14,,,4th Choice DSEM,3rd Choice DSEM,,1st Choice DSEM,,,,,,5th Choice DSEM,,,2nd Choice DSEM,,,,,,,,I'm completely finished!
6/27/2022 10:23:18,3rd Choice DSEM,5th Choice DSEM,,1st Choice DSEM,,,,4th Choice DSEM,,,,,2nd Choice DSEM,,,,,,,,,,I'm completely finished!
6/27/2022 15:20:11,,3rd Choice DSEM,,2nd Choice DSEM,,,,,,,,,,,,,,,1st Choice DSEM,,,,I'm completely finished!
6/27/2022 16:04:38,,3rd Choice DSEM,,,,,,,2nd Choice DSEM,,4th Choice DSEM,5th Choice DSEM,,,1st Choice DSEM,,,,,,,,I'm completely finished!
6/27/2022 16:07:52,,2nd Choice DSEM,,,,,,,5th Choice DSEM,,3rd Choice DSEM,,1st Choice DSEM,,,,,,4th Choice DSEM,,,,I'm completely finished!
6/27/2022 16:52:42,4th Choice DSEM,,,5th Choice DSEM,,,,,,,2nd Choice DSEM,,,,,,,1st Choice DSEM,3rd Choice DSEM,,,,I'm completely finished!
6/27/2022 17:13:40,,3rd Choice DSEM,,,,,,,,,,,,,5th Choice DSEM,,,,1st Choice DSEM,4th Choice DSEM,2nd Choice DSEM,,I'm completely finished!
6/27/2022 18:59:09,,1st Choice DSEM,,,3rd Choice DSEM,,4th Choice DSEM,,,,2nd Choice DSEM,,,,5th Choice DSEM,,,,,,,,I'm completely finished!
6/28/2022 6:39:46,,,,2nd Choice DSEM,3rd Choice DSEM,,,,,,1st Choice DSEM,,5th Choice DSEM,,,,,,,,,4th Choice DSEM,I'm completely finished!
6/28/2022 12:18:08,,2nd Choice DSEM,,,,,,,,,,3rd Choice DSEM,,,5th Choice DSEM,1st Choice DSEM,4th Choice DSEM,,,,,,I'm completely finished!
6/28/2022 12:33:33,,,,3rd Choice DSEM,,,,,,,1st Choice DSEM,,,,,2nd Choice DSEM,,,4th Choice DSEM,,5th Choice DSEM,,I'm completely finished!
6/28/2022 15:09:53,,4th Choice DSEM,,3rd Choice DSEM,,5th Choice DSEM,,,,,1st Choice DSEM,,,,,,,,,,2nd Choice DSEM,,I'm completely finished!
6/28/2022 15:14:11,,4th Choice DSEM,,,,,2nd Choice DSEM,,,,,,5th Choice DSEM,,,,,3rd Choice DSEM,,,1st Choice DSEM,,I'm completely finished!
6/30/2022 18:59:01,,2nd Choice DSEM,,,,2nd Choice DSEM,5th Choice DSEM,,,,,,,,,,3rd Choice DSEM,,,,4th Choice DSEM,1st Choice DSEM,I'm completely finished!
6/28/2022 18:39:55,,,2nd Choice DSEM,4th Choice DSEM,5th Choice DSEM,,,,,,1st Choice DSEM,,,,3rd Choice DSEM,,,,,,,,I'm completely finished!
6/28/2022 21:55:32,,3rd Choice DSEM,,,,,,,,,5th Choice DSEM,,1st Choice DSEM,,4th Choice DSEM,,,2nd Choice DSEM,,,,,I'm not finished yet. I'll go back and complete the form later.
6/29/2022 2:07:40,4th Choice DSEM,,,1st Choice DSEM,,,,5th Choice DSEM,,,,,,,3rd Choice DSEM,,,,,,2nd Choice DSEM,,I'm completely finished!
6/29/2022 7:16:20,,,3rd Choice DSEM,,4th Choice DSEM,1st Choice DSEM,,,,,,,,,,,,5th Choice DSEM,,2nd Choice DSEM,,,I'm completely finished!
6/29/2022 7:29:35,3rd Choice DSEM,,,2nd Choice DSEM,,,,,,,,,,,,,,,1st Choice DSEM,,5th Choice DSEM,4th Choice DSEM,I'm completely finished!
6/29/2022 8:38:23,,2nd Choice DSEM,,,,,5th Choice DSEM,,,,1st Choice DSEM,,,,,,,4th Choice DSEM,,,,3rd Choice DSEM,I'm completely finished!
6/29/2022 11:42:08,,3rd Choice DSEM,,,2nd Choice DSEM,,,,,,,,,,4th Choice DSEM,,,,5th Choice DSEM,1st Choice DSEM,,,I'm completely finished!
6/29/2022 15:05:06,,3rd Choice DSEM,,,5th Choice DSEM,,,4th Choice DSEM,,,1st Choice DSEM,,,,2nd Choice DSEM,,,,,,,,I'm completely finished!
6/29/2022 15:21:33,,,3rd Choice DSEM,1st Choice DSEM,,,,,,,2nd Choice DSEM,,,,5th Choice DSEM,,,,4th Choice DSEM,,,,I'm completely finished!
6/29/2022 15:42:01,,,,,1st Choice DSEM,,,5th Choice DSEM,,,,4th Choice DSEM,,,2nd Choice DSEM,,3rd Choice DSEM,,,,,,I'm completely finished!
6/29/2022 15:52:24,4th Choice DSEM,,,,,,,1st Choice DSEM,,,5th Choice DSEM,,,,,,,2nd Choice DSEM,,,,3rd Choice DSEM,I'm completely finished!
6/29/2022 16:41:59,3rd Choice DSEM,,,2nd Choice DSEM,,,,,,,4th Choice DSEM,,,,,,,,1st Choice DSEM,,5th Choice DSEM,,I'm completely finished!
6/29/2022 17:11:27,,3rd Choice DSEM,,,,,,,,,1st Choice DSEM,,,,4th Choice DSEM,,,,2nd Choice DSEM,,5th Choice DSEM,,I'm completely finished!
6/29/2022 18:47:19,,,3rd Choice DSEM,,,4th Choice DSEM,,,,,,,,,5th Choice DSEM,2nd Choice DSEM,,,1st Choice DSEM,,,,I'm completely finished!
6/30/2022 11:05:23,,,4th Choice DSEM,,3rd Choice DSEM,,,,,,,,5th Choice DSEM,,,,,1st Choice DSEM,,2nd Choice DSEM,,,I'm completely finished!
6/29/2022 19:13:09,,,,,3rd Choice DSEM,,,,4th Choice DSEM,,,2nd Choice DSEM,,,,5th Choice DSEM,,1st Choice DSEM,,,,,I'm completely finished!
6/29/2022 19:36:29,,1st Choice DSEM,,,3rd Choice DSEM,,4th Choice DSEM,,,,,,,,,,,,,,2nd Choice DSEM,5th Choice DSEM,I'm completely finished!
6/29/2022 19:36:45,1st Choice DSEM,3rd Choice DSEM,2nd Choice DSEM,5th Choice DSEM,,,,,,,,,,,,,,,,,4th Choice DSEM,,I'm completely finished!
6/29/2022 19:46:45,,4th Choice DSEM,,3rd Choice DSEM,,,,,,,,1st Choice DSEM,,,5th Choice DSEM,,2nd Choice DSEM,,,,,,I'm completely finished!
6/29/2022 21:21:57,,3rd Choice DSEM,5th Choice DSEM,,,,,2nd Choice DSEM,,,4th Choice DSEM,,,,,,,,1st Choice DSEM,,,,I'm completely finished!
6/29/2022 22:33:47,5th Choice DSEM,,,3rd Choice DSEM,,,,,,,,,,,,,,2nd Choice DSEM,1st Choice DSEM,,,4th Choice DSEM,I'm completely finished!
6/29/2022 23:57:57,,1st Choice DSEM,,,,,,,,,,4th Choice DSEM,,,,,3rd Choice DSEM,5th Choice DSEM,,2nd Choice DSEM,,,I'm completely finished!
6/30/2022 0:12:46,3rd Choice DSEM,,,,,,2nd Choice DSEM,,,,4th Choice DSEM,,,,,,,,5th Choice DSEM,,,1st Choice DSEM,I'm completely finished!
6/30/2022 10:34:05,,5th Choice DSEM,4th Choice DSEM,,3rd Choice DSEM,,,,,,,,,,2nd Choice DSEM,,,1st Choice DSEM,,,,,I'm completely finished!
6/30/2022 10:54:16,,,5th Choice DSEM,,,,,,,,,,,,,1st Choice DSEM,,3rd Choice DSEM,4th Choice DSEM,,2nd Choice DSEM,,I'm completely finished!
6/30/2022 11:44:25,2nd Choice DSEM,3rd Choice DSEM,5th Choice DSEM,,,1st Choice DSEM,4th Choice DSEM,,,,,,,,,,,,,,,,I'm completely finished!
6/30/2022 11:57:06,,,,,1st Choice DSEM,,,,,,,,,,2nd Choice DSEM,,,,,3rd Choice DSEM,,,I'm completely finished!
6/30/2022 13:26:55,,1st Choice DSEM,,5th Choice DSEM,,,2nd Choice DSEM,,,,4th Choice DSEM,,,,,,,3rd Choice DSEM,,,,,I'm completely finished!
6/30/2022 13:58:30,,5th Choice DSEM,,3rd Choice DSEM,,,,,,,,2nd Choice DSEM,,,,4th Choice DSEM,,1st Choice DSEM,,,,,I'm completely finished!
6/30/2022 16:50:07,3rd Choice DSEM,,,2nd Choice DSEM,,,,,,,,,,,,,,5th Choice DSEM,1st Choice DSEM,,,4th Choice DSEM,I'm completely finished!
6/30/2022 16:50:07,,1st Choice DSEM,,,,3rd Choice DSEM,,,,,,,,,,,4th Choice DSEM,5th Choice DSEM,2nd Choice DSEM,,,,I'm completely finished!
6/30/2022 16:52:42,,4th Choice DSEM,,5th Choice DSEM,,2nd Choice DSEM,,,,,,,,,,,,,,,3rd Choice DSEM,1st Choice DSEM,I'm completely finished!
6/30/2022 16:59:35,,,,2nd Choice DSEM,,,,,,,1st Choice DSEM,,,,,,5th Choice DSEM,4th Choice DSEM,,,3rd Choice DSEM,,I'm completely finished!
6/30/2022 19:54:08,,4th Choice DSEM,,,,,5th Choice DSEM,,,,,,,,,,3rd Choice DSEM,2nd Choice DSEM,1st Choice DSEM,,,,I'm completely finished!
6/30/2022 21:31:06,,2nd Choice DSEM,,,,,,,1st Choice DSEM,,,,,,,,4th Choice DSEM,,,,5th Choice DSEM,3rd Choice DSEM,I'm completely finished!
6/30/2022 21:51:22,4th Choice DSEM,1st Choice DSEM,5th Choice DSEM,3rd Choice DSEM,,,,,,,2nd Choice DSEM,,,,,,,,,,,,I'm completely finished!
6/30/2022 22:06:21,,2nd Choice DSEM,3rd Choice DSEM,,,,,,,,4th Choice DSEM,,,,5th Choice DSEM,,1st Choice DSEM,,,,,,I'm completely finished!
6/30/2022 23:41:09,1st Choice DSEM,,3rd Choice DSEM,4th Choice DSEM,,5th Choice DSEM,,,,,,,,,,,,,,,2nd Choice DSEM,,I'm completely finished!
7/1/2022 11:05:25,4th Choice DSEM,1st Choice DSEM,2nd Choice DSEM,,,,,5th Choice DSEM,,,,,,,,,,3rd Choice DSEM,,,,,I'm completely finished!
7/1/2022 11:23:25,,,,,5th Choice DSEM,,,,,,1st Choice DSEM,,,,,,,3rd Choice DSEM,,4th Choice DSEM,,2nd Choice DSEM,I'm completely finished!
7/3/2022 14:58:49,,,,,,,,,,,5th Choice DSEM,,,,,,4th Choice DSEM,2nd Choice DSEM,1st Choice DSEM,,,3rd Choice DSEM,I'm completely finished!
8/11/2022 11:48:48,,,,,,,,5th Choice DSEM,,,,,,,3rd Choice DSEM,,,,2nd Choice DSEM,4th Choice DSEM,,1st Choice DSEM,I'm completely finished!
7/4/2022 12:40:58,,4th Choice DSEM,,,3rd Choice DSEM,,,,,,2nd Choice DSEM,,1st Choice DSEM,,,,,5th Choice DSEM,,,,,I'm completely finished!
7/6/2022 8:54:06,2nd Choice DSEM,,,,4th Choice DSEM,3rd Choice DSEM,,,,,,,,,,,,5th Choice DSEM,,,1st Choice DSEM,,I'm completely finished!
7/6/2022 9:02:28,,,,2nd Choice DSEM,,,,,5th Choice DSEM,,,,,,4th Choice DSEM,3rd Choice DSEM,,,1st Choice DSEM,,,,I'm completely finished!
7/6/2022 12:33:28,,,,,2nd Choice DSEM,,,3rd Choice DSEM,,,1st Choice DSEM,,5th Choice DSEM,,,,,,,,4th Choice DSEM,,I'm completely finished!
7/6/2022 18:11:19,,,,,,2nd Choice DSEM,,,,,3rd Choice DSEM,,,,4th Choice DSEM,,,5th Choice DSEM,,1st Choice DSEM,,,I'm completely finished!
7/7/2022 12:12:01,,1st Choice DSEM,,,,,,,,,,2nd Choice DSEM,,,,5th Choice DSEM,,3rd Choice DSEM,,,,,I'm completely finished!
7/7/2022 19:48:25,,4th Choice DSEM,2nd Choice DSEM,,5th Choice DSEM,,,3rd Choice DSEM,,,,,,,,,,,,,,1st Choice DSEM,I'm completely finished!
7/7/2022 23:31:21,,,,,2nd Choice DSEM,,,,,,,4th Choice DSEM,3rd Choice DSEM,,1st Choice DSEM,,,5th Choice DSEM,,,,,I'm completely finished!
7/8/2022 12:27:35,,1st Choice DSEM,,,,,,,,,3rd Choice DSEM,,5th Choice DSEM,,,,,,,2nd Choice DSEM,4th Choice DSEM,,I'm completely finished!
7/8/2022 12:47:31,2nd Choice DSEM,,,,5th Choice DSEM,4th Choice DSEM,,,,,1st Choice DSEM,,,,,,,,,3rd Choice DSEM,,,I'm completely finished!
7/8/2022 13:26:33,,,,,,,,3rd Choice DSEM,,,2nd Choice DSEM,,5th Choice DSEM,,1st Choice DSEM,,,,,,,4th Choice DSEM,I'm completely finished!
7/8/2022 15:58:17,,2nd Choice DSEM,,,,,,,3rd Choice DSEM,,1st Choice DSEM,,,,,,,5th Choice DSEM,,,,4th Choice DSEM,I'm completely finished!
7/9/2022 17:18:01,2nd Choice DSEM,5th Choice DSEM,,1st Choice DSEM,,,,,,,,,,,,,,,,,3rd Choice DSEM,4th Choice DSEM,I'm completely finished!
7/10/2022 16:56:41,,2nd Choice DSEM,,,,,,,4th Choice DSEM,,,,,,3rd Choice DSEM,,5th Choice DSEM,1st Choice DSEM,,,,,I'm completely finished!
7/11/2022 10:04:36,,1st Choice DSEM,,,4th Choice DSEM,,,3rd Choice DSEM,,,2nd Choice DSEM,,,,,,,,,5th Choice DSEM,,,I'm completely finished!
7/11/2022 10:14:04,,1st Choice DSEM,,,,,5th Choice DSEM,,,,,,,,,,,4th Choice DSEM,,,2nd Choice DSEM,3rd Choice DSEM,I'm completely finished!
